repository_url,ecosystems,dependent_repos,c_loc,cpp_loc,c_bridge_tools,c_build_tools,has_rust,rust_loc,brief_languages
https://github.com/fsevents/fsevents,npm,5289351,349,0,node-gyp,"",0,0,"JavaScript,C,TypeScript"
https://github.com/digitalbazaar/forge,npm,3039204,229,0,"","",0,0,"JavaScript,C,Python"
https://github.com/react/react,"npm,rubygems",2830385,0,0,node-gyp,"",1,65038,"JavaScript,TypeScript,Rust"
https://github.com/mapbox/node-pre-gyp,npm,2120020,37,119,node-gyp,"",0,0,"JavaScript,C++"
https://github.com/eemeli/yaml,npm,1894156,25257,12709,"","",0,71,"C,TypeScript,Swift,Objective-C,JavaScript,Elixir,Java,Perl,Ruby,Python,C++,C#,Lua,Rust,OCaml,Haskell,Crystal,Go,Nim,PHP,Prolog,Scala,Zig"
https://github.com/xtuc/webassemblyjs,npm,1625157,16,0,node-gyp,"",0,0,"JavaScript,C,TypeScript"
https://github.com/socketio/socket.io,npm,1351985,4,0,"","",0,0,"JavaScript,TypeScript,Objective-C,Kotlin,C,Prolog"
https://github.com/ruby/rake,rubygems,1222401,19,0,"","",0,0,"Ruby,C"
https://github.com/sass/ruby-sass,rubygems,1111541,0,0,mkmf,"",0,0,Ruby
https://github.com/nodejs/node-gyp,npm,1108730,0,21,node-gyp,"",0,0,"Python,JavaScript,C++,Emacs Lisp,C#"
https://github.com/sparklemotion/nokogiri,rubygems,1093699,40140,7100,mkmf,"",0,0,"Ruby,Java,C,C++,Python"
https://github.com/tailwindlabs/tailwindcss,npm,1049673,0,0,node-gyp,"",1,18374,"TypeScript,Rust,JavaScript"
https://github.com/facebook/watchman,"npm,pypi",992341,7357,29498,"",CMake,1,5645,"C++,Python,C,Rust,Java,JavaScript,Ruby"
https://github.com/ffi/ffi,rubygems,983191,47218,134,mkmf,"",0,0,"C,Ruby,Python,C++,Perl"
https://github.com/dchest/tweetnacl-js,npm,923630,1367,0,"","",0,0,"JavaScript,C,Go,TypeScript"
https://github.com/mcavage/node-assert-plus,npm,916223,79779,0,"","",0,0,"C,Python,JavaScript,Perl,Groovy"
https://github.com/tritondatacenter/node-http-signature,npm,905940,79779,0,"","",0,0,"C,JavaScript,Python,Emacs Lisp,Perl,Groovy"
https://github.com/nodejs/cjs-module-lexer,npm,900252,1626,0,"","",0,0,"JavaScript,C,TypeScript"
https://github.com/sass/node-sass,npm,894508,1793,30427,node-gyp,"",0,0,"C++,JavaScript,C,Perl,Ruby"
https://github.com/nodejs/nan,npm,883906,6645,3117,node-gyp,CMake,0,0,"C++,JavaScript,C"
https://github.com/ruby-concurrency/concurrent-ruby,rubygems,878681,299,0,mkmf,"",0,0,"Ruby,Java,C"
https://github.com/thibaudgg/rb-fsevent,rubygems,869117,1661,0,"","",0,0,"C,Ruby"
https://github.com/mongodb/node-mongodb-native,npm,828772,0,0,node-gyp,"",0,0,"JavaScript,TypeScript"
https://github.com/guybedford/es-module-lexer,npm,785030,1453,0,"","",0,0,"JavaScript,C,TypeScript"
https://github.com/flavorjones/mini_portile,rubygems,732623,4,0,"","",0,0,"Ruby,C"
https://github.com/nodejs/node-addon-api,npm,722679,8570,7738,node-gyp,"",0,0,"JavaScript,C++,C"
https://github.com/vuejs/vue-template-es2015-compiler,npm,708602,0,0,node-gyp,"",0,0,JavaScript
https://github.com/ruby/json,rubygems,698810,5661,0,mkmf,"",0,0,"Ruby,Java,C"
https://github.com/crypto-browserify/evp_bytestokey,npm,653240,0,49,node-gyp,"",0,0,"JavaScript,C++"
https://github.com/seleniumhq/selenium,"pypi,rubygems,maven,npm",622782,5317,21161,"","",1,9242,"Java,C#,Ruby,Python,JavaScript,C,C++,Rust,TypeScript"
https://github.com/sparklemotion/sqlite3-ruby,rubygems,555573,1963,0,mkmf,"",0,0,"Ruby,C"
https://github.com/deivid-rodriguez/byebug,rubygems,510541,1692,0,mkmf,"",0,0,"Ruby,C"
https://github.com/projectlombok/lombok,maven,499217,30,0,"","",0,0,"Java,JavaScript,C"
https://github.com/numpy/numpy,"pypi,conda",487463,318732,62520,"setuptools Extension,meson-python","CMake,Meson",0,640,"C,Python,C++,JavaScript,Fortran,Rust,D,Swift,Java,Objective-C,C#,TypeScript,Verilog"
https://github.com/eventmachine/eventmachine,rubygems,487102,858,5298,mkmf,"",0,0,"Ruby,C++,C,Java"
https://github.com/ged/ruby-pg,rubygems,468233,9752,0,mkmf,"",0,0,"Ruby,C"
https://github.com/stub42/pytz,"pypi,conda",464910,8597,0,"","",0,0,"Python,C"
