crate,embedding_repos,requirements,scopes,repo_urls
rustler,42,"0.36,0.38,0.35.0,0.33,0.38.0,0.22.0-rc.0,0.18,0.32.1,0.16,0.21.1,0.29.1,0.35.1,0.36.1,0.22.0-rc.1,0.33.0,0.37.2,0.37,0.25.0,0.22.0,0.23.0,0.30,0.26.0,0.20.0,0.24.0,0.37.3,0.28.0",runtime,"https://github.com/elixir-explorer/explorer,https://github.com/rusterlium/html5ever_elixir,https://github.com/build-trust/ockam,https://github.com/exweb3/ex_keccak,https://github.com/mischov/meeseeks_html5ever,https://github.com/ayrat555/ex_secp256k1,https://github.com/firezone/wireguardex,https://github.com/avencera/fast_rss,https://github.com/adoptoposs/mjml_nif,https://github.com/tessi/wasmex,https://github.com/vonmo/erbloom,https://github.com/urbint/rox,https://github.com/corneliakelinske/ex_robo_cop,https://github.com/korczis/gauc.ex,https://github.com/ayrat555/ex_pbkdf2,https://github.com/farhadi/xxh3,https://github.com/naps62/imageflow_ex,https://github.com/elixir-ecto/excoding,https://github.com/benhaney/jsonrs,https://github.com/rhaiscript/rhai_rustler,https://github.com/bonfire-networks/tree_magic.ex,https://github.com/mrdotb/resvg_nif,https://github.com/discord/sorted_set_nif,https://github.com/duskmoon-dev/phoenix-duskmoon-ui,https://github.com/ayrat555/ex_bech32,https://github.com/qqwy/elixir-rustler_elixir_fun,https://github.com/ironbay/bridge_lmdb,https://github.com/ayrat555/ex_base58,https://github.com/whatyouhide/nimble_lz4,https://github.com/remoteoss/pdf_to_text,https://github.com/mjaric/tds-encoding,https://github.com/thomas-jean/blake3,https://github.com/dockyard/netcdf,https://github.com/dulltools/ex_jack,https://github.com/lucassifoni/imago,https://github.com/nbw/qrusty,https://github.com/roosoft/k256,https://github.com/dlesl/erqwest,https://github.com/helium/erlang-multihash,https://github.com/ayrat555/evil_crc32c,https://github.com/team-softaliza/value,https://github.com/ayrat555/cafezinho"
serde,42,"1.0.104,*,1.0.229,1.0.126,1,=1.0.219,1.0,1.0.163,1.0.228,1.0.119,1.0.219,^1,1.0.130,1.0.164,1.0.145,1.0.183,1.0.197,1.0.196,1.0.152,1.0.123,1.0.2,1.0.204","runtime,build,development","https://github.com/swc-project/swc,https://github.com/facebook/watchman,https://github.com/facebook/flow,https://github.com/dotansimha/graphql-code-generator,https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/tensorflow/tensorboard,https://github.com/seleniumhq/selenium,https://github.com/google/flatbuffers,https://github.com/pydantic/pydantic,https://github.com/safetensors/safetensors,https://github.com/facebook/flipper,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/tox-dev/pipdeptree,https://github.com/google-research/google-research,https://github.com/benfred/py-spy,https://github.com/pola-rs/polars,https://github.com/hit-scir/ltp,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/datadog/dd-trace-py,https://github.com/suo/lintrunner,https://github.com/mcu-tools/mcuboot,https://github.com/eventual-inc/daft,https://github.com/react/react,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://github.com/formatjs/formatjs,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/sferik/x-cli,https://github.com/ruby/rbs,https://github.com/flajann2/juwelier,https://github.com/rusterlium/rustler,https://github.com/build-trust/ockam,https://github.com/avencera/fast_rss,https://github.com/vonmo/erbloom,https://github.com/drbawb/shellac,https://github.com/benhaney/jsonrs,https://github.com/duskmoon-dev/phoenix-duskmoon-ui"
serde_json,39,"1.0.48,*,1.0.151,1.0.105,1.0.140,1,1.0,1.0.149,1.0.59,^1,1.0.150,1.0.68,1.0.114,1.0.113,1.0.91,1.0.1,1.0.133","runtime,build,development","https://github.com/swc-project/swc,https://github.com/facebook/watchman,https://github.com/facebook/flow,https://github.com/dotansimha/graphql-code-generator,https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/tensorflow/tensorboard,https://github.com/seleniumhq/selenium,https://github.com/pydantic/pydantic,https://github.com/safetensors/safetensors,https://github.com/elastic/elasticsearch,https://github.com/facebook/flipper,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/tox-dev/pipdeptree,https://github.com/google-research/google-research,https://github.com/benfred/py-spy,https://github.com/hit-scir/ltp,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/datadog/dd-trace-py,https://github.com/suo/lintrunner,https://github.com/eventual-inc/daft,https://github.com/web-push-libs/vapid,https://github.com/react/react,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://github.com/formatjs/formatjs,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/sferik/x-cli,https://github.com/flajann2/juwelier,https://github.com/rusterlium/rustler,https://github.com/build-trust/ockam,https://github.com/livebook-dev/livebook,https://github.com/avencera/fast_rss,https://github.com/benhaney/jsonrs,https://github.com/duskmoon-dev/phoenix-duskmoon-ui"
pyo3,35,"0.29,=0.29,0.29.2,0.27,0.29.0,0.28.0,*,0.25.1,0.21.2,0.28.3,0.26.0,>=0.22,<=0.28,0.19.2,0.25,0.22.6,0.25.0,0.24.1,^0.25,0.28,0.22","development,runtime","https://github.com/huggingface/tokenizers,https://github.com/openai/tiktoken,https://github.com/python-pendulum/pendulum,https://github.com/crate-py/rpds,https://github.com/pyca/bcrypt,https://github.com/pydantic/pydantic,https://github.com/samuelcolvin/watchfiles,https://github.com/safetensors/safetensors,https://github.com/andfoy/pywinpty,https://github.com/hypothesisworks/hypothesis,https://github.com/chroma-core/chroma,https://github.com/xlwings/xlwings,https://github.com/indygreg/python-zstandard,https://github.com/google/flax,https://github.com/ua-parser/uap-python,https://github.com/tox-dev/pipdeptree,https://github.com/cher-nov/cryptg,https://github.com/instagram/libcst,https://codeberg.org/jpt/jellyfish,https://github.com/meirkriheli/python-bidi,https://github.com/qiskit/qiskit,https://github.com/y-crdt/ypy,https://github.com/pola-rs/polars,https://github.com/hit-scir/ltp,https://github.com/agronholm/cbor2,https://github.com/coin-or/pulp,https://github.com/dbt-labs/dbt-core,https://github.com/messense/nh3,https://github.com/pyo3/maturin,https://github.com/dbt-labs/dbt-extractor,https://github.com/hkwi/python-geohash,https://github.com/milesgranger/cramjam,https://github.com/datadog/dd-trace-py,https://github.com/akoumjian/datefinder,https://github.com/ngrok/ngrok-python"
thiserror,26,"2.0,1.0.40,*,2,1.0.21,1.0,2.0.18,2.0.12,2.0.3,2.0.20,2.0.9,1","runtime,development","https://github.com/facebook/watchman,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/tensorflow/tensorboard,https://github.com/google/flatbuffers,https://github.com/microsoft/onnxruntime,https://github.com/chroma-core/chroma,https://github.com/tox-dev/pipdeptree,https://github.com/instagram/libcst,https://github.com/pola-rs/polars,https://github.com/chroma-core/hnswlib,https://github.com/pyo3/maturin,https://github.com/dbt-labs/dbt-extractor,https://github.com/mcu-tools/mcuboot,https://github.com/web-push-libs/vapid,https://github.com/facebook/hermes,https://github.com/facebook/relay,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/sferik/x-cli,https://github.com/elixir-explorer/explorer,https://github.com/rusterlium/html5ever_elixir,https://github.com/build-trust/ockam,https://github.com/drbawb/shellac,https://github.com/rhaiscript/rhai_rustler,https://github.com/dockyard/netcdf"
tempfile,24,"3.27.0,3.13.0,*,3.10,3.1.0,3,3.9.0,3.10.1,3.8,3.14.0,3.2.0,3.10.0,3.0,3.19.1,3.17.1","runtime,development,build","https://github.com/facebook/flow,https://github.com/tailwindlabs/tailwindcss,https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/tensorflow/tensorboard,https://github.com/seleniumhq/selenium,https://github.com/safetensors/safetensors,https://github.com/facebook/flipper,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/tox-dev/pipdeptree,https://github.com/benfred/py-spy,https://github.com/chroma-core/hnswlib,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner,https://github.com/facebook/relay,https://github.com/formatjs/formatjs,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/sferik/x-cli,https://github.com/build-trust/ockam,https://github.com/duskmoon-dev/phoenix-duskmoon-ui"
rand,23,"0.10.2,0.9.0,*,0.4.1,0.9,0.7.3,0.8.5,0.8,0.10.1,0.9.1","runtime,development","https://github.com/facebook/flow,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/mozilla/source-map,https://github.com/huggingface/tokenizers,https://github.com/tensorflow/tensorboard,https://github.com/wandb/wandb,https://github.com/hypothesisworks/hypothesis,https://github.com/chroma-core/chroma,https://github.com/google-research/google-research,https://github.com/benfred/py-spy,https://github.com/pola-rs/polars,https://github.com/hit-scir/ltp,https://github.com/chroma-core/hnswlib,https://github.com/dbt-labs/dbt-core,https://github.com/datadog/dd-trace-py,https://github.com/mcu-tools/mcuboot,https://github.com/facebook/relay,https://gitlab.com/gitlab-org/prometheus-client-mmap,https://github.com/huacnlee/rucaptcha,https://github.com/elixir-explorer/explorer,https://github.com/build-trust/ockam,https://github.com/tessi/wasmex"
anyhow,22,"*,1.0.104,1.0,1.0.71,1.0.102,1.0.75,^1,1.0.93,1,1.0.74,1.0.80,1.0.79","runtime,build,development","https://github.com/swc-project/swc,https://github.com/facebook/watchman,https://github.com/rollup/rollup,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/seleniumhq/selenium,https://github.com/google/flatbuffers,https://github.com/facebook/flipper,https://github.com/microsoft/onnxruntime,https://github.com/chroma-core/chroma,https://github.com/benfred/py-spy,https://github.com/hit-scir/ltp,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/datadog/dd-trace-py,https://github.com/suo/lintrunner,https://github.com/facebook/hermes,https://github.com/parcel-bundler/parcel,https://github.com/facebook/relay,https://github.com/formatjs/formatjs,https://github.com/elixir-explorer/explorer,https://github.com/build-trust/ockam"
regex,22,"1.13.1,1.11.1,1.9.1,*,1.5,1.10,1.12.3,1.0,1.11.2,>=1.6.0,1.7.0,1.10.3,1.11.3,1.9.5,1.11,1.12,1,1.10.6,1.10.4","runtime,development","https://github.com/facebook/flow,https://github.com/tailwindlabs/tailwindcss,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/seleniumhq/selenium,https://github.com/openai/tiktoken,https://github.com/pydantic/pydantic,https://github.com/chroma-core/chroma,https://github.com/instagram/libcst,https://github.com/benfred/py-spy,https://github.com/dbt-labs/dbt-core,https://github.com/pyo3/maturin,https://github.com/suo/lintrunner,https://github.com/akoumjian/datefinder,https://github.com/ngrok/ngrok-python,https://github.com/facebook/relay,https://github.com/formatjs/formatjs,https://github.com/sferik/x-cli,https://github.com/oxidize-rb/rb-sys,https://github.com/build-trust/ockam,https://github.com/corneliakelinske/ex_robo_cop"
tokio,22,"1.53.1,1.45,*,1.44.0,1.47.1,1.8.4,1.52.3,1,1.0,>=1,<2,1.40,1.43,1.43.1,0.2","runtime,development","https://github.com/facebook/watchman,https://github.com/facebook/flow,https://github.com/pnpm/pnpm,https://github.com/nrwl/nx,https://github.com/vercel/next.js,https://github.com/huggingface/tokenizers,https://github.com/tensorflow/tensorboard,https://github.com/seleniumhq/selenium,https://github.com/elastic/elasticsearch,https://github.com/google/boringssl,https://github.com/wandb/wandb,https://github.com/chroma-core/chroma,https://github.com/datadog/dd-trace-py,https://github.com/ngrok/ngrok-python,https://github.com/facebook/relay,https://github.com/elixir-explorer/explorer,https://github.com/build-trust/ockam,https://github.com/jayjun/rambo,https://github.com/tessi/wasmex,https://github.com/discord/loqui,https://github.com/duskmoon-dev/phoenix-duskmoon-ui,https://github.com/dlesl/erqwest"
