purl,ecosystem,name,registry,dependent_repos,dependent_packages,downloads,downloads_period,latest_release,latest_release_at,repository_url,stars,rust_loc,total_loc,bridge_tools,sibling_runtime,has_cargo_lock,cargo_toml_count,cargo_toml_paths,cargo_lock_paths,signals
pkg:npm/react,npm,react,npmjs.org,2830385,275174,642052442,last-month,19.2.8,2026-07-21T15:41:28.716Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/react-dom,npm,react-dom,npmjs.org,2621774,211813,619036618,last-month,19.2.8,2026-07-21T15:41:41.267Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/react-is,npm,react-is,npmjs.org,2549171,10364,1353741382,last-month,19.2.8,2026-07-21T15:42:03.130Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/scheduler,npm,scheduler,npmjs.org,2143380,1394,646236844,last-month,0.27.0,2025-10-01T21:39:15.208Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/eslint-plugin-react-hooks,npm,eslint-plugin-react-hooks,npmjs.org,1658186,41283,370200861,last-month,7.1.1,2026-04-17T18:03:19.591Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/rollup,npm,rollup,npmjs.org,1133301,130345,484356218,last-month,4.62.4,2026-08-01T05:23:41.096Z,https://github.com/rollup/rollup,26301,5271,296802,napi-rs,0,1,5,rust/Cargo.toml;rust/bindings_napi/Cargo.toml;rust/bindings_wasm/Cargo.toml;rust/parse_ast/Cargo.toml;rust/xxhash/Cargo.toml,rust/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/source-map,npm,source-map,npmjs.org,1103771,5880,1357382433,last-month,0.8.0,2026-07-20T05:45:25.965Z,https://github.com/mozilla/source-map,3722,1809,11602,"",0,0,2,wasm-mappings/Cargo.toml;wasm-mappings/source-map-mappings-wasm-api/Cargo.toml,"","brief:lang,brief:cargo,cargo.toml,rust_loc"
pkg:npm/tailwindcss,npm,tailwindcss,npmjs.org,1049673,11727,487735181,last-month,4.3.3,2026-07-16T12:03:35.267Z,https://github.com/tailwindlabs/tailwindcss,97229,18374,145750,napi-rs,0,1,6,Cargo.toml;crates/classification-macros/Cargo.toml;crates/ignore/Cargo.toml;crates/node/Cargo.toml;crates/oxide/Cargo.toml;crates/oxide/fuzz/Cargo.toml,Cargo.lock;crates/oxide/fuzz/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/react-refresh,npm,react-refresh,npmjs.org,1010091,3414,316036625,last-month,0.18.0,2025-10-01T21:39:03.378Z,https://github.com/react/react,247323,65038,813965,napi-rs,0,1,14,compiler/Cargo.toml;compiler/crates/react_compiler/Cargo.toml;compiler/crates/react_compiler_ast/Cargo.toml;compiler/crates/react_compiler_diagnostics/Cargo.toml;compiler/crates/react_compiler_hir/Cargo.toml;compiler/crates/react_compiler_inference/Cargo.toml;compiler/crates/react_compiler_lowering/Cargo.toml;compiler/crates/react_compiler_optimization/Cargo.toml;compiler/crates/react_compiler_reactive_scopes/Cargo.toml;compiler/crates/react_compiler_ssa/Cargo.toml;compiler/crates/react_compiler_typeinference/Cargo.toml;compiler/crates/react_compiler_utils/Cargo.toml;compiler/crates/react_compiler_validation/Cargo.toml;compiler/packages/babel-plugin-react-compiler-rust/native/Cargo.toml,compiler/Cargo.lock,"brief:lang,brief:cargo,brief:bridge,cargo.toml,cargo.lock,rust_loc"
pkg:npm/bser,npm,bser,npmjs.org,992341,953,180893579,last-month,2.1.1,2019-10-22T16:20:14.968Z,https://github.com/facebook/watchman,13674,5645,67319,"",0,0,4,watchman/cli/Cargo.toml;watchman/rust/serde_bser/Cargo.toml;watchman/rust/watchman_client/Cargo.toml;watchman/thirdparty/deelevate_binding/Cargo.toml,"","brief:lang,brief:cargo,cargo.toml,rust_loc"
