ecosystem,repos,rust,rust_pct,c_any,c_pct,c_tight,both
hex,4785,52,1.09,237,4.95,31,4
pypi,4242,64,1.51,548,12.92,438,34
rubygems,4090,13,0.32,272,6.65,205,10
npm,3618,17,0.47,89,2.46,54,11
cargo,2940,2895,98.47,294,10.0,77,292
go,552,2,0.36,25,4.53,2,2
packagist,547,0,0.0,3,0.55,2,0
hackage,395,0,0.0,82,20.76,5,0
maven,280,4,1.43,30,10.71,9,4
conda,271,6,2.21,117,43.17,96,5
julia,173,0,0.0,3,1.73,0,0
swiftpm,97,0,0.0,52,53.61,9,0
nuget,74,1,1.35,6,8.11,6,1
cocoapods,51,3,5.88,47,92.16,18,3
pub,36,0,0.0,12,33.33,8,0
cpan,10,0,0.0,4,40.0,0,0
