purl,ecosystem,dependent_repos,repository_url,cargo_dir,crate,version,direct,vendors_c,advisory,aliases,severity,informational,published,summary
pkg:npm/tailwindcss,npm,1049673,https://github.com/tailwindlabs/tailwindcss,crates/oxide/fuzz,crossbeam-epoch,0.9.18,0,0,RUSTSEC-2026-0204,"",,,2026-07-06T12:00:00Z,Invalid pointer dereference in `fmt::Pointer` impl for `Atomic` and `Shared` when the underlying pointer is invalid
pkg:npm/tailwindcss,npm,1049673,https://github.com/tailwindlabs/tailwindcss,crates/oxide/fuzz,fxhash,0.2.1,0,0,RUSTSEC-2025-0057,"",,unmaintained,2025-09-05T12:00:00Z,fxhash - no longer maintained
pkg:npm/tailwindcss,npm,1049673,https://github.com/tailwindlabs/tailwindcss,crates/oxide,fxhash,2.1.1,1,0,RUSTSEC-2025-0057,"",,unmaintained,2025-09-05T12:00:00Z,fxhash - no longer maintained
pkg:npm/tailwindcss,npm,1049673,https://github.com/tailwindlabs/tailwindcss,crates/oxide/fuzz,tracing-subscriber,0.3.18,0,0,RUSTSEC-2025-0055,GHSA-xwfj-jgwm-7wp5 CVE-2025-58160 CGA-qfj4-j4gm-v9q6,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:P/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,,2025-08-29T12:00:00Z, Tracing logging user input may result in poisoning logs with ANSI escape sequences
pkg:npm/tailwindcss,npm,1049673,https://github.com/tailwindlabs/tailwindcss,crates/oxide,tracing-subscriber,0.3.18,1,0,RUSTSEC-2025-0055,GHSA-xwfj-jgwm-7wp5 CVE-2025-58160 CGA-qfj4-j4gm-v9q6,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:P/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,,2025-08-29T12:00:00Z, Tracing logging user input may result in poisoning logs with ANSI escape sequences
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,rust,anyhow,1.0.102,1,0,RUSTSEC-2026-0190,"",,unsound,2026-06-25T12:00:00Z,Unsoundness in `Error::downcast_mut()`
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,rust,sevenz-rust,0.6.1,1,0,RUSTSEC-2026-0245,"",CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:A/VC:N/VI:H/VA:L/SC:H/SI:H/SA:H,,2026-08-06T12:00:00Z,Relative/Absolute Path Traversal (CWE-23/CWE-36) in `decompress_impl` that enables an arbitrary file write.
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,rust,sevenz-rust,0.6.1,1,0,RUSTSEC-2026-0246,"",,unmaintained,2026-08-06T12:00:00Z,`sevenz-rust` is unmaintained
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,rust,tar,0.4.44,1,0,GHSA-3pv8-6f4r-ffg2,CGA-8ww7-68g5-5224,,,2026-05-29T19:16:12Z,tar has a PAX header desynchronization issue
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,rust,tar,0.4.44,1,0,RUSTSEC-2026-0068,GHSA-gchp-q4r4-x4ff CVE-2026-33055 CGA-jh5j-68c4-238r,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,,2026-03-19T12:00:00Z,tar-rs incorrectly ignores PAX size headers if header size is nonzero
