purl,ecosystem,dependent_repos,repository_url,bridge_tools,c_crates
pkg:npm/rollup,npm,1133301,https://github.com/rollup/rollup,napi-rs,"psm,stacker"
pkg:npm/tailwindcss,npm,1049673,https://github.com/tailwindlabs/tailwindcss,napi-rs,libfuzzer-sys
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:npm/%40swc/helpers,npm,360974,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/next,npm,345645,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:gem/commonmarker,rubygems,317893,https://github.com/gjtorikian/commonmarker,"Magnus,rb-sys","onig,onig_sys,rb-sys"
pkg:gem/selenium-webdriver,rubygems,311814,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:npm/%40next/env,npm,304007,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/hermes-engine,npm,214711,https://github.com/facebook/hermes,"","psm,stacker"
pkg:npm/%40next/swc-win32-x64-msvc,npm,200018,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/swc-darwin-x64,npm,199310,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/swc-linux-x64-gnu,npm,199250,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/swc-darwin-arm64,npm,199127,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/swc-linux-x64-musl,npm,186350,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/swc-win32-ia32-msvc,npm,185803,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/swc-linux-arm64-musl,npm,185782,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/swc-linux-arm64-gnu,npm,185780,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/swc-win32-arm64-msvc,npm,185777,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/eslint-config-next,npm,177757,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/eslint-plugin-next,npm,168048,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:pypi/cryptography,pypi,131580,https://github.com/pyca/cryptography,Maturin,openssl-sys
pkg:npm/%40next/react-refresh-utils,npm,112079,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40next/react-dev-overlay,npm,106030,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:maven/org.seleniumhq.selenium/selenium-java,maven,98124,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:npm/hermes-parser,npm,92350,https://github.com/facebook/hermes,"","psm,stacker"
pkg:npm/%40next/polyfill-module,npm,90210,https://github.com/vercel/next.js,napi-rs,"aws-lc-sys,blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,rav1e,ring,stacker,sys-info,zstd-sys"
pkg:npm/%40parcel/utils,npm,89249,https://github.com/parcel-bundler/parcel,napi-rs,"jemalloc-sys,libdeflate-sys,libmimalloc-sys,mozjpeg-sys,psm,stacker"
pkg:npm/%40parcel/logger,npm,89232,https://github.com/parcel-bundler/parcel,napi-rs,"jemalloc-sys,libdeflate-sys,libmimalloc-sys,mozjpeg-sys,psm,stacker"
pkg:npm/%40parcel/workers,npm,89223,https://github.com/parcel-bundler/parcel,napi-rs,"jemalloc-sys,libdeflate-sys,libmimalloc-sys,mozjpeg-sys,psm,stacker"
pkg:npm/%40parcel/fs,npm,89222,https://github.com/parcel-bundler/parcel,napi-rs,"jemalloc-sys,libdeflate-sys,libmimalloc-sys,mozjpeg-sys,psm,stacker"
pkg:npm/hermes-estree,npm,87133,https://github.com/facebook/hermes,"","psm,stacker"
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,"","openssl-src,openssl-sys,zstd-sys"
pkg:npm/%40swc/core,npm,69112,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:pypi/selenium,pypi,62210,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:npm/parcel-bundler,npm,61051,https://github.com/parcel-bundler/parcel,napi-rs,"jemalloc-sys,libdeflate-sys,libmimalloc-sys,mozjpeg-sys,psm,stacker"
pkg:npm/%40swc/core-win32-x64-msvc,npm,57360,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40swc/core-darwin-arm64,npm,57114,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40swc/core-linux-x64-gnu,npm,57062,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40swc/core-linux-x64-musl,npm,57055,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40swc/core-darwin-x64,npm,56878,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40swc/core-linux-arm64-gnu,npm,56735,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40swc/core-win32-ia32-msvc,npm,56725,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40swc/core-linux-arm64-musl,npm,56687,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40swc/core-win32-arm64-msvc,npm,56682,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:pypi/tensorboard,pypi,45077,https://github.com/tensorflow/tensorboard,"",ring
pkg:npm/%40rollup/rollup-linux-x64-gnu,npm,36144,https://github.com/rollup/rollup,napi-rs,"psm,stacker"
pkg:cocoapods/Flipper,cocoapods,34784,https://github.com/facebook/flipper,"",lzma-sys
pkg:cocoapods/FlipperKit,cocoapods,34782,https://github.com/facebook/flipper,"",lzma-sys
pkg:npm/%40rollup/rollup-linux-x64-musl,npm,32265,https://github.com/rollup/rollup,napi-rs,"psm,stacker"
pkg:npm/%40swc/types,npm,27316,https://github.com/swc-project/swc,napi-rs,"blake3,libfuzzer-sys,libmimalloc-sys,openssl-sys,psm,stacker,tikv-jemalloc-sys"
pkg:npm/%40nrwl/devkit,npm,19290,https://github.com/nrwl/nx,napi-rs,"libsqlite3-sys,psm,ring,rusqlite,stacker,tikv-jemalloc-sys"
pkg:maven/org.elasticsearch/elasticsearch,maven,18551,https://github.com/elastic/elasticsearch,"","ring,zstd-sys"
pkg:npm/%40graphql-codegen/plugin-helpers,npm,17858,https://github.com/dotansimha/graphql-code-generator,"","psm,stacker"
pkg:npm/%40graphql-codegen/visitor-plugin-common,npm,17423,https://github.com/dotansimha/graphql-code-generator,"","psm,stacker"
pkg:pypi/tokenizers,pypi,14571,https://github.com/huggingface/tokenizers,"","esaxx-rs,onig"
pkg:maven/org.seleniumhq.selenium/selenium-chrome-driver,maven,13871,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:pypi/tensorboard-data-server,pypi,13536,https://github.com/tensorflow/tensorboard,"",ring
pkg:maven/org.seleniumhq.selenium/selenium-server,maven,10765,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:maven/org.seleniumhq.selenium/selenium-firefox-driver,maven,10500,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:pypi/wandb,pypi,9299,https://github.com/wandb/wandb,"","aws-lc-sys,openssl-sys,ring,zstd-sys"
pkg:maven/org.seleniumhq.selenium/selenium-support,maven,8655,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:maven/org.elasticsearch.client/elasticsearch-rest-high-level-client,maven,8109,https://github.com/elastic/elasticsearch,"","ring,zstd-sys"
pkg:cocoapods/BoringSSL-GRPC,cocoapods,8074,https://github.com/google/boringssl,"",ring
pkg:maven/org.seleniumhq.selenium/selenium-api,maven,7759,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:maven/org.seleniumhq.selenium/selenium-remote-driver,maven,6810,https://github.com/seleniumhq/selenium,"","bzip2-sys,lzma-sys,ring,zstd-sys"
pkg:pypi/chromadb,pypi,6246,https://github.com/chroma-core/chroma,"napi-rs,Maturin","aws-lc-sys,cxx,cxx-build,generator,libsqlite3-sys,link-cplusplus,lz4-sys,openssl-sys,ring,tikv-jemalloc-sys,tree-sitter,tree-sitter-md,zstd-sys"
pkg:pypi/safetensors,pypi,6234,https://github.com/safetensors/safetensors,"",libfuzzer-sys
