repository_url,ecosystems,dependent_repos,has_rust,has_c,c_loc,cpp_loc,c_build_tools,brief_languages
https://github.com/browserify/resolve,npm,5229428,0,0,0,0,"","JavaScript,TypeScript"
https://github.com/inikulin/parse5,npm,3044435,0,0,0,0,"","TypeScript,Python,JavaScript"
https://github.com/nv/cssom,npm,2147832,0,0,0,0,"",JavaScript
https://github.com/eemeli/yaml,npm,1894156,0,1,25257,12709,"","C,TypeScript,Swift,Objective-C,JavaScript,Elixir,Java,Perl,Ruby,Python,C++,C#,Lua,Rust,OCaml,Haskell,Crystal,Go,Nim,PHP,Prolog,Scala,Zig"
https://github.com/xtuc/webassemblyjs,npm,1625157,0,1,16,0,"","JavaScript,C,TypeScript"
https://github.com/jsdom/jsdom,npm,1437647,0,0,100,0,"","JavaScript,Python,TypeScript"
https://github.com/handlebars-lang/handlebars.js,"npm,rubygems",1258975,0,0,0,0,"","JavaScript,TypeScript,Ruby"
https://github.com/ajv-validator/ajv-formats,npm,1124792,0,0,0,0,"","TypeScript,JavaScript"
https://github.com/mozilla/source-map,npm,1103771,1,0,0,0,"","JavaScript,Rust,TypeScript,Python"
https://github.com/sparklemotion/nokogiri,rubygems,1093699,0,1,40140,7100,"","Ruby,Java,C,C++,Python"
https://github.com/ajv-validator/ajv,npm,1087714,0,0,0,0,"","TypeScript,JavaScript"
https://github.com/ffi/ffi,rubygems,983191,0,1,47218,134,"","C,Ruby,Python,C++,Perl"
https://github.com/eps1lon/dom-accessibility-api,npm,935172,0,0,0,0,"","JavaScript,Python,TypeScript"
https://github.com/mcavage/node-assert-plus,npm,916223,0,1,79779,0,"","C,Python,JavaScript,Perl,Groovy"
https://github.com/tritondatacenter/node-http-signature,npm,905940,0,1,79779,0,"","C,JavaScript,Python,Emacs Lisp,Perl,Groovy"
https://github.com/mongodb/node-mongodb-native,npm,828772,0,1,0,0,"","JavaScript,TypeScript"
https://github.com/vuejs/vue-template-es2015-compiler,npm,708602,0,1,0,0,"",JavaScript
https://github.com/lautis/uglifier,rubygems,674411,0,0,0,0,"","JavaScript,Ruby"
https://github.com/numpy/numpy,"pypi,conda",487463,0,1,318732,62520,"CMake,Meson","C,Python,C++,JavaScript,Fortran,Rust,D,Swift,Java,Objective-C,C#,TypeScript,Verilog"
https://github.com/tmm1/http_parser.rb,rubygems,427811,0,1,466,0,"","Ruby,C,Java"
https://github.com/vuejs/vue-eslint-parser,npm,406807,0,0,0,0,"","TypeScript,JavaScript"
https://github.com/protobufjs/protobuf.js,npm,392989,0,0,0,0,"","JavaScript,TypeScript"
https://github.com/dcodeio/protobuf.js,npm,390845,0,0,0,0,"","JavaScript,TypeScript"
https://github.com/swc-project/swc,"npm,cargo",360974,1,1,0,0,"","JavaScript,TypeScript,Rust"
https://github.com/es-shims/iterator-helpers,npm,360050,0,0,0,0,"","JavaScript,Python"
https://github.com/joyent/node-asn1,npm,325120,0,0,0,0,"","JavaScript,Groovy"
https://github.com/jshint/jshint,npm,309320,0,0,0,0,"","JavaScript,Python"
https://github.com/firebase/firebase-js-sdk,npm,296309,0,1,0,0,"","TypeScript,JavaScript"
https://github.com/grpc/grpc-node,npm,291210,0,1,577,803,CMake,"TypeScript,C,C++,Java,Go,C#,JavaScript,PHP,Objective-C,Python,Ruby,Kotlin,Dart,Emacs Lisp,Swift"
https://github.com/editorconfig/editorconfig-core-js,npm,237057,0,0,0,0,"","TypeScript,JavaScript"
https://github.com/scipy/scipy,"pypi,conda",229003,0,1,264564,689846,"CMake,Meson","C++,Python,C,JavaScript,C#,Objective-C,Fortran,Julia,Solidity,Nix,Perl,R"
https://github.com/janl/mustache.js,npm,224460,0,1,0,0,"","JavaScript,TypeScript,Ruby"
https://github.com/software-mansion/react-native-screens,npm,195656,0,1,4725,2042,"","TypeScript,Kotlin,C,Objective-C,JavaScript,C++,Swift,Prolog,Ruby,Java"
https://github.com/sass/sassc-ruby,rubygems,170988,0,1,1298,30105,"","C++,Ruby,C,Perl"
https://github.com/expo/expo,npm,165704,0,1,75553,103441,"","TypeScript,Kotlin,JavaScript,Swift,C,Objective-C,Java,C++,Prolog,Ruby"
https://github.com/dominikh/go-tools,go,159437,0,0,0,0,"","Go,JavaScript,Emacs Lisp,Nix"
https://github.com/sebmarkbage/art,npm,152761,0,0,0,0,"",JavaScript
https://github.com/jquast/wcwidth,"pypi,conda",134173,0,0,0,0,"","Python,JavaScript"
https://github.com/cryptocoinjs/secp256k1-node,npm,105322,0,1,14945,476,"","C,JavaScript,Java,C++"
https://github.com/amvtek/eventsource,npm,102623,0,0,0,0,"","JavaScript,Python"
https://github.com/nodejs/undici,npm,98048,0,1,11053,0,"","JavaScript,Python,TypeScript,C"
https://github.com/parshap/node-sanitize-filename,npm,97772,0,1,0,0,"","JavaScript,TypeScript"
https://github.com/cryptocoinjs/keccak,npm,96892,0,1,33296,63,"","C,JavaScript,Python,C++,Rust"
https://github.com/parshap/utf8-byte-length,npm,96466,0,0,0,0,"",JavaScript
https://github.com/mattiasbuelens/web-streams-polyfill,npm,96457,0,0,100,0,"","JavaScript,Python,TypeScript"
https://github.com/parshap/truncate-utf8-bytes,npm,95666,0,0,0,0,"",JavaScript
https://github.com/ethereumjs/ethereumjs-monorepo,npm,94320,0,1,0,0,"","TypeScript,JavaScript,Python"
https://github.com/pytorch/pytorch,"pypi,conda",92053,0,1,316889,743933,CMake,"C,C++,Python,Objective-C,Java"
https://github.com/xunit/xunit,nuget,91829,0,0,0,0,"","C#,F#"
https://github.com/davidhalter/jedi,"pypi,conda",89812,0,1,13,0,"","Python,C"
https://github.com/python-pillow/pillow,"pypi,conda",88899,0,1,35324,0,CMake,"Python,C,GDScript,JavaScript"
https://github.com/unetworking/uwebsockets.js,npm,84585,0,1,8614,2880,"","C,C++,JavaScript,Prolog,TypeScript"
https://github.com/sinonjs/text-encoding,npm,84179,0,0,0,0,"",JavaScript
https://github.com/xunit/visualstudio.xunit,nuget,80985,0,0,0,0,"",C#
https://github.com/preactjs/preact,npm,78992,0,0,0,0,"","JavaScript,TypeScript"
https://github.com/tdegrunt/jsonschema,npm,77723,0,0,0,0,"","JavaScript,TypeScript"
https://github.com/cowboyd/libv8,rubygems,77428,0,1,0,0,"",Ruby
