purl,ecosystem,dependent_repos,repository_url,cargo_dir,crate,version,upstream,advisory,nvd,severity,sources,summary
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,rust,bzip2-sys,0.1.13+1.0.8,bzip2@1.0.8,CVE-2026-42250,no_cpe,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,DEBIAN-CVE-2026-42250 UBUNTU-CVE-2026-42250,"bzip2 contains an off‑by‑one error in the bzip2recover utility. When processing a specially crafted file, the applicatio"
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,rust,lzma-sys,0.1.20,xz@5.2.5,CVE-2026-34743,in_range,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,ALPINE-CVE-2026-34743,"XZ Utils provide a general-purpose data-compression library plus command-line tools. Prior to version 5.8.3, if lzma_ind"
pkg:npm/selenium-webdriver,npm,622782,https://github.com/seleniumhq/selenium,rust,lzma-sys,0.1.20,xz@5.2.5,CVE-2025-31115,no_cpe,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,ALPINE-CVE-2025-31115,"XZ Utils provide a general-purpose data-compression library plus command-line tools. In XZ Utils 5.3.3alpha to 5.8.0, th"
pkg:gem/selenium-webdriver,rubygems,311814,https://github.com/seleniumhq/selenium,rust,bzip2-sys,0.1.13+1.0.8,bzip2@1.0.8,CVE-2026-42250,no_cpe,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,DEBIAN-CVE-2026-42250 UBUNTU-CVE-2026-42250,"bzip2 contains an off‑by‑one error in the bzip2recover utility. When processing a specially crafted file, the applicatio"
pkg:gem/selenium-webdriver,rubygems,311814,https://github.com/seleniumhq/selenium,rust,lzma-sys,0.1.20,xz@5.2.5,CVE-2025-31115,no_cpe,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,ALPINE-CVE-2025-31115,"XZ Utils provide a general-purpose data-compression library plus command-line tools. In XZ Utils 5.3.3alpha to 5.8.0, th"
pkg:gem/selenium-webdriver,rubygems,311814,https://github.com/seleniumhq/selenium,rust,lzma-sys,0.1.20,xz@5.2.5,CVE-2026-34743,in_range,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,ALPINE-CVE-2026-34743,"XZ Utils provide a general-purpose data-compression library plus command-line tools. Prior to version 5.8.3, if lzma_ind"
pkg:maven/org.seleniumhq.selenium/selenium-java,maven,98124,https://github.com/seleniumhq/selenium,rust,bzip2-sys,0.1.13+1.0.8,bzip2@1.0.8,CVE-2026-42250,no_cpe,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,DEBIAN-CVE-2026-42250 UBUNTU-CVE-2026-42250,"bzip2 contains an off‑by‑one error in the bzip2recover utility. When processing a specially crafted file, the applicatio"
pkg:maven/org.seleniumhq.selenium/selenium-java,maven,98124,https://github.com/seleniumhq/selenium,rust,lzma-sys,0.1.20,xz@5.2.5,CVE-2025-31115,no_cpe,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,ALPINE-CVE-2025-31115,"XZ Utils provide a general-purpose data-compression library plus command-line tools. In XZ Utils 5.3.3alpha to 5.8.0, th"
pkg:maven/org.seleniumhq.selenium/selenium-java,maven,98124,https://github.com/seleniumhq/selenium,rust,lzma-sys,0.1.20,xz@5.2.5,CVE-2026-34743,in_range,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,ALPINE-CVE-2026-34743,"XZ Utils provide a general-purpose data-compression library plus command-line tools. Prior to version 5.8.3, if lzma_ind"
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2025-68160,in_range,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,DEBIAN-CVE-2025-68160,"Issue summary: Writing large, newline-free data into a BIO chain using the line-buffering filter where the next BIO perf"
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2025-15467,in_range,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,DEBIAN-CVE-2025-15467 DSA-6113-1,Issue summary: Parsing CMS AuthEnvelopedData or EnvelopedData message with maliciously crafted AEAD parameters can trigg
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2025-11187,in_range,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:H,DEBIAN-CVE-2025-11187,Issue summary: PBMAC1 parameters in PKCS#12 files are missing validation which can trigger a stack-based buffer overflow
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2024-13176,no_cpe,CVSS:3.1/AV:P/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,DEBIAN-CVE-2024-13176,Issue summary: A timing side-channel which could potentially allow recovering the private key exists in the ECDSA signat
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2024-12797,no_cpe,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:L,DEBIAN-CVE-2024-12797,Issue summary: Clients using RFC7250 Raw Public Keys (RPKs) to authenticate a server may fail to notice that the server 
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-42767,in_range,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,DEBIAN-CVE-2026-42767,Issue summary: An attacker-controlled CMP (Certificate Management Protocol) server could trigger a NULL pointer derefere
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-14456,no_cpe,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,DEBIAN-CVE-2026-14456,Issue summary: When an OpenSSL QUIC server (Listener SSL object) processes valid QUIC Initial packets for unknown destin
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2025-27587,no_cpe,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,DEBIAN-CVE-2025-27587,"OpenSSL 3.0.0 through 3.3.2 on the PowerPC architecture is vulnerable to a Minerva attack, exploitable by measuring the "
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-9076,in_range,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,DEBIAN-CVE-2026-9076,"Issue summary: When CMS password-based decryption (RFC 3211 / PWRI key unwrap) processes attacker-supplied CMS data, an "
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-7383,in_range,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,DEBIAN-CVE-2026-7383,Issue summary: A signed integer overflow when sizing the destination buffer for Unicode output in ASN1_mbstring_ncopy() 
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-45447,in_range,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,DEBIAN-CVE-2026-45447,Issue summary: A specially crafted PKCS#7 or S/MIME signed message could trigger a use-after-free during PKCS#7 signatur
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-45446,in_range,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,DEBIAN-CVE-2026-45446,Issue summary: The implementations of AES-SIV (RFC 5297) and AES-GCM-SIV (RFC 8452) mishandle the authentication of AAD 
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-45445,in_range,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,DEBIAN-CVE-2026-45445,"Issue summary: When an application drives an AES-OCB context through the public EVP_Cipher() one-shot interface, the app"
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-42770,in_range,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,DEBIAN-CVE-2026-42770,"Issue summary: When EVP_PKEY_derive_set_peer() is called with a DHX (X9.42) peer key, the peer key is not properly check"
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-42769,in_range,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,DEBIAN-CVE-2026-42769,Issue Summary: An error in the callback used to verify the certificate provided in a Root CA key update Certificate Mana
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-42768,in_range,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,DEBIAN-CVE-2026-42768,Issue summary: The CMS_decrypt and PKCS7_decrypt functions are vulnerable to Bleichenbacher-style attack when an attacke
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-42766,in_range,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,DEBIAN-CVE-2026-42766,Issue summary: A specially crafted password-encrypted CMS message can trigger a NULL pointer dereference during CMS decr
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-34183,in_range,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,DEBIAN-CVE-2026-34183,Issue summary: Remote peer may exhaust heap memory of the QUIC server or client by flooding it with packets containing P
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-34182,in_range,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,DEBIAN-CVE-2026-34182,Issue Summary: Cryptographic Message Services (CMS) processing fails to perform sufficient input validation on the ciphe
pkg:npm/relay-runtime,npm,76213,https://github.com/facebook/relay,compiler,openssl-src,300.4.1+3.4.0,openssl@3.4.0,CVE-2026-34181,in_range,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,DEBIAN-CVE-2026-34181,Issue Summary: The PKCS#12 file processing fails to perform sufficient input validation for files that use Password-Base
